Text,Sentiment,Hashtags,Retweets,Likes,Month,Hour
105,214,491,15,30,1,12
293,195,674,5,10,1,8
191,214,309,20,40,1,15
120,214,677,8,15,1,18
296,197,158,12,25,1,19
141,214,350,25,50,1,9
241,214,559,10,20,1,14
287,214,485,15,30,1,19
231,195,542,30,60,1,8
212,197,641,18,35,1,12
192,214,90,22,45,1,15
135,195,620,7,15,1,10
128,214,120,12,25,1,14
218,214,498,28,55,1,18
278,197,655,15,30,1,9
245,214,564,20,40,1,13
189,214,534,15,30,1,17
195,214,333,18,35,1,0
34,197,0,25,50,1,11
301,195,687,8,15,1,15
269,214,560,22,45,1,8
129,214,679,15,30,1,13
236,214,551,30,60,1,16
190,214,308,20,40,1,9
51,214,109,12,25,1,14
277,214,100,15,30,1,12
199,214,443,25,50,1,16
240,214,561,15,30,1,19
244,214,474,22,45,1,11
217,214,51,12,25,1,15
299,214,584,18,35,1,17
106,214,652,15,30,1,18
53,214,122,30,60,1,13
142,214,410,25,50,1,9
302,214,689,15,30,1,14
239,214,298,22,45,1,17
33,214,486,18,35,1,20
232,214,479,15,30,1,12
295,214,208,12,25,1,16
119,214,334,30,60,1,9
228,214,336,25,50,1,14
50,214,78,15,30,1,19
139,214,9,22,45,1,17
2,214,162,18,35,1,20
126,214,50,15,30,1,11
216,214,94,12,25,1,15
35,214,680,28,55,1,18
243,214,492,15,30,1,10
66,214,159,20,40,1,19
143,214,523,15,30,1,16
272,214,310,22,45,2,8
276,214,76,18,35,2,13
49,15,403,20,40,2,9
136,115,301,15,30,2,21
168,240,592,25,50,2,14
289,83,227,18,35,2,18
238,137,369,30,60,2,10
196,173,429,22,45,2,19
266,184,463,15,30,2,8
21,13,34,18,35,2,14
107,100,260,25,50,2,19
16,4,15,20,40,2,11
258,9,24,15,30,2,16
125,26,60,22,45,2,20
78,80,219,18,35,2,9
13,257,642,25,50,2,14
144,0,3,15,30,2,18
222,6,17,22,45,2,10
23,16,38,20,40,2,7
0,31,82,18,35,2,15
146,38,105,15,30,2,9
60,52,139,25,50,2,14
122,111,291,22,45,2,18
193,176,438,20,40,2,11
234,218,550,30,60,2,16
9,248,618,15,30,2,19
159,15,37,20,40,2,9
286,115,302,15,30,2,21
169,240,591,25,50,2,14
288,83,226,18,35,2,18
221,137,370,30,60,2,10
197,173,433,22,45,2,19
260,184,463,15,30,2,8
20,13,35,18,35,2,14
108,100,261,25,50,2,19
17,4,16,20,40,2,11
259,9,23,15,30,2,16
36,26,65,22,45,2,20
77,80,220,18,35,2,9
14,257,644,25,50,2,14
94,0,6,15,30,2,18
220,6,18,22,45,2,10
24,16,40,20,40,2,7
41,31,81,18,35,2,15
145,38,103,15,30,2,9
61,52,143,25,50,2,14
121,111,289,22,45,2,18
305,176,437,20,40,2,11
235,218,547,30,60,2,16
8,248,618,15,30,2,19
242,0,4,22,45,3,10
123,111,283,18,35,3,13
140,31,80,15,30,3,17
48,38,104,15,30,3,18
62,51,141,30,60,3,13
124,110,294,25,50,3,16
194,176,439,22,45,3,11
233,218,545,12,25,3,14
265,247,619,15,30,3,12
255,89,239,20,40,5,15
290,109,282,15,30,8,21
98,57,155,25,50,6,14
208,245,605,18,35,2,18
223,132,344,30,60,11,10
175,151,388,22,45,4,19
101,95,249,15,30,9,8
54,47,130,18,35,7,14
10,261,661,25,50,2,19
29,22,47,20,40,10,11
113,102,267,15,30,6,16
138,124,330,22,45,3,18
252,235,582,18,35,11,15
88,89,240,25,50,4,9
283,109,278,15,30,6,14
65,57,156,30,60,8,10
263,245,603,22,45,9,19
164,132,353,15,30,3,8
172,151,387,18,35,12,16
103,95,252,25,50,7,11
57,47,132,18,35,12,14
281,261,660,25,50,2,19
31,22,46,20,40,4,11
111,102,263,15,30,9,16
158,124,328,22,45,6,18
251,235,580,18,35,11,15
90,89,241,25,50,3,9
91,89,238,20,40,2,14
285,109,277,15,30,11,21
64,57,152,25,50,9,13
262,245,612,18,35,7,18
165,132,345,30,60,4,10
174,151,385,22,45,12,19
104,95,251,15,30,6,8
56,46,131,18,35,1,14
279,261,662,25,50,12,19
30,22,49,20,40,3,9
112,102,262,15,30,9,16
137,125,329,22,45,8,18
253,234,581,18,35,11,15
89,89,236,25,50,6,10
284,109,280,15,30,4,11
63,57,154,30,60,11,20
261,245,615,22,45,7,18
163,132,352,15,30,3,11
173,151,389,18,35,10,16
102,95,253,25,50,7,13
55,47,133,18,35,12,14
280,261,663,25,50,2,19
32,22,48,20,40,9,11
110,102,264,15,30,4,16
157,125,331,22,45,11,18
254,234,583,18,35,5,15
87,88,237,25,50,2,9
275,75,205,5,10,3,8
224,135,357,8,15,7,15
200,180,452,10,20,11,21
183,170,423,12,25,8,11
248,231,575,7,15,5,14
155,123,326,10,20,1,16
46,36,96,8,15,9,19
26,19,42,12,25,4,9
182,165,416,15,30,12,18
171,149,383,8,15,6,14
117,105,274,10,20,11,11
247,227,569,12,25,8,16
80,84,228,7,15,2,9
85,74,202,10,20,4,20
167,135,363,12,25,10,15
202,178,454,15,30,7,18
184,170,424,8,15,6,16
250,231,576,10,20,1,12
153,122,325,12,25,4,14
47,36,97,7,15,11,19
25,18,41,10,20,9,9
181,164,415,15,30,10,18
170,148,384,8,15,5,14
118,105,275,10,20,3,11
246,227,570,12,25,12,16
79,84,225,7,15,7,9
268,75,197,10,20,8,20
166,135,356,12,25,2,15
201,178,457,15,30,9,18
185,169,425,8,15,8,16
249,231,577,10,20,1,12
154,123,324,12,25,4,14
45,36,98,7,15,10,19
92,68,181,15,30,4,10
207,158,399,7,15,11,17
282,53,142,10,20,4,9
11,203,511,8,15,8,14
160,187,469,12,25,6,20
256,201,505,10,20,2,15
291,12,33,12,25,5,11
99,1,6,15,30,1,16
132,78,209,10,20,9,13
264,246,608,12,25,7,19
68,68,179,20,40,10,8
149,158,401,10,20,3,16
109,53,145,15,30,5,11
219,203,514,8,15,12,14
211,187,470,12,25,3,19
274,201,504,10,20,7,15
15,12,30,12,25,1,10
100,1,7,15,30,8,16
73,78,212,18,35,11,13
294,246,610,25,50,4,19
127,68,182,22,45,4,8
83,158,400,9,18,2,17
307,53,144,14,28,8,12
178,203,510,10,20,12,15
7,187,471,13,26,3,21
147,201,509,12,25,6,14
292,12,32,15,30,7,11
96,1,5,18,36,5,16
3,78,215,20,40,9,14
38,246,609,25,50,2,18
180,158,402,9,18,3,16
215,53,145,14,28,5,11
22,203,515,11,22,10,14
210,187,467,13,26,1,20
6,201,502,12,25,8,15
18,12,29,15,30,1,10
95,1,2,18,36,7,16
72,78,213,20,40,12,13
257,246,613,25,50,4,19
67,68,183,22,45,5,8
84,158,400,9,18,2,17
205,53,140,14,28,6,12
306,203,513,10,20,11,15
209,187,472,13,26,2,21
198,201,507,12,25,5,14
19,12,31,15,30,8,11
97,1,8,18,36,6,16
71,78,214,20,40,10,14
177,246,606,25,50,5,19
156,68,178,22,44,12,9
709,202,512,10,20,11,15
69,278,695,15,30,7,17
37,56,151,18,36,9,20
161,152,391,12,24,4,8
271,220,554,25,50,12,12
5,127,341,20,40,2,9
130,94,248,15,30,4,14
58,48,134,18,36,6,10
229,211,539,22,44,7,18
270,118,311,20,40,8,11
39,163,412,15,30,10,16
214,152,394,12,24,10,7
273,50,138,25,50,2,13
206,243,607,13,26,5,22
297,64,180,17,34,11,14
179,11,28,14,28,9,10
162,127,343,19,38,3,19
303,278,696,16,32,3,16
1,48,135,21,42,7,12
237,220,555,23,46,1,8
93,152,393,14,28,7,6
12,211,538,24,48,8,17
148,163,411,18,36,12,14
213,56,157,20,40,4,9
304,94,247,16,32,9,21
4,118,312,22,44,6,10
40,127,342,19,38,4,18
59,50,137,23,46,1,13
176,152,390,15,30,5,7
230,211,540,25,50,11,15
300,163,413,14,28,8,20
52,152,392,17,34,10,11
1,48,135,21,42,7,12
237,220,555,23,46,1,8
93,152,393,14,28,7,6
12,211,538,24,48,8,17
148,163,411,18,36,12,14
213,56,157,20,40,4,9
304,94,247,16,32,9,21
4,118,312,22,44,6,10
40,127,342,19,38,4,18
59,50,137,23,46,1,13
176,152,390,15,30,5,7
230,211,540,25,50,11,15
300,163,413,14,28,8,20
52,152,392,17,34,10,11
1,48,135,21,42,7,12
237,220,555,23,46,1,8
93,152,393,14,28,7,6
12,211,538,24,48,8,17
86,72,199,8,16,9,16
42,32,85,12,24,3,14
298,178,453,15,30,7,11
308,277,693,10,20,11,19
131,116,303,18,36,5,2
27,21,44,14,28,4,13
227,208,528,22,44,6,17
187,168,421,16,32,8,10
75,79,218,25,50,8,15
152,121,323,12,24,12,9
114,103,271,20,40,2,22
82,85,229,14,28,5,14
267,121,321,15,30,1,11
203,178,455,18,36,9,3
134,116,305,13,26,7,23
43,32,83,10,20,4,16
225,208,529,20,40,11,8
188,168,422,16,32,12,17
74,79,217,25,50,5,14
150,121,322,14,28,9,12
116,103,269,20,40,2,19
81,85,230,12,24,8,14
70,72,203,8,16,2,21
44,32,84,15,30,10,10
204,178,456,18,36,12,18
309,277,694,10,20,4,16
133,116,304,18,36,1,3
28,21,45,14,28,6,10
226,208,530,22,44,2,15
186,168,420,16,32,3,14
76,79,216,25,50,10,11
151,121,320,14,28,11,12
115,103,270,20,40,1,22
81,85,230,12,24,8,14
267,121,321,15,30,1,11
203,178,455,18,36,9,3
371,27,61,28,55,4,6
580,77,210,15,30,10,10
581,200,506,22,45,6,19
682,264,666,40,80,9,14
381,39,106,18,35,11,21
592,209,531,25,50,5,17
456,110,293,30,60,1,12
615,130,347,35,70,12,8
377,33,88,20,40,3,18
410,67,175,18,35,8,15
325,5,13,25,50,8,16
591,207,527,18,35,12,19
550,162,406,30,60,6,20
579,193,483,40,80,2,7
490,132,348,22,45,4,8
482,95,250,35,70,9,14
331,14,36,15,30,10,12
400,55,148,28,55,7,23
563,175,436,20,40,11,17
457,112,288,30,60,3,15
625,242,593,25,50,12,11
480,34,89,18,35,9,9
384,245,616,22,45,5,14
332,17,39,40,80,7,10
616,224,566,35,70,3,18
583,199,500,20,40,1,21
333,20,43,28,55,11,13
398,49,136,15,30,4,17
402,57,149,25,50,1,19
452,102,268,30,60,8,12
665,258,643,18,35,10,16
312,2,10,22,45,6,7
708,276,692,35,70,6,18
585,206,522,20,40,7,9
605,219,546,28,55,4,14
492,138,372,15,30,2,11
431,89,242,40,80,9,16
409,66,177,18,35,11,10
575,97,255,25,50,8,22
552,166,417,18,35,4,17
486,212,541,22,45,12,15
453,190,478,35,70,10,8
392,86,233,30,60,2,13
642,90,243,28,55,6,20
699,270,685,20,40,3,14
601,210,533,18,35,4,17
444,263,668,22,45,7,12
493,141,374,35,70,11,19
311,61,165,15,30,9,16
606,221,557,25,50,5,10
313,274,691,40,80,7,23
619,228,573,18,35,9,14
701,160,407,28,55,11,11
627,58,161,30,60,1,18
501,129,346,22,45,12,19
436,8,20,35,70,3,20
454,107,281,20,40,6,15
369,25,59,18,35,8,14
382,97,256,25,50,8,22
510,188,473,18,35,4,17
562,117,306,22,45,12,15
471,159,404,35,70,10,8
638,119,313,30,60,2,13
417,70,189,28,55,6,20
700,270,684,20,40,3,14
618,224,563,18,35,4,17
621,7,19,22,45,7,12
494,142,374,35,70,11,19
310,23,54,15,30,9,16
607,222,557,25,50,5,10
370,275,691,40,80,7,23
619,228,573,18,35,9,14
701,161,407,28,55,11,11
627,58,161,30,60,1,18
501,129,346,22,45,12,19
437,63,172,35,70,3,20
455,108,279,20,40,6,15
372,25,59,18,35,8,14
408,65,176,18,35,11,10
485,111,287,22,45,12,17
401,56,150,28,55,6,12
551,233,578,35,70,4,14
569,156,398,20,40,9,19
429,198,503,25,50,12,21
641,253,632,30,60,2,23
509,131,355,18,35,2,8
571,185,466,22,45,8,15
368,244,617,28,55,11,18
430,146,379,15,30,8,21
584,179,451,18,35,2,16
675,134,358,22,45,11,14
422,73,200,28,55,5,22
630,30,74,22,45,9,13
324,255,640,25,50,3,19
446,93,246,30,60,7,17
495,226,568,18,35,12,10
683,134,364,28,55,6,21
553,167,418,35,70,4,14
640,81,221,20,40,10,18
593,182,461,22,45,11,9
500,73,196,40,80,8,22
574,186,468,18,35,3,23
376,32,87,25,50,12,16
445,113,295,35,70,9,13
639,252,630,18,35,5,20
415,69,188,28,55,7,18
423,76,207,22,45,4,14
499,237,587,20,40,1,11
631,71,192,20,40,9,19
367,225,572,25,50,4,11
531,133,359,18,35,12,21
314,178,450,22,45,6,14
678,32,86,15,30,10,17
538,71,195,28,55,3,22
633,145,380,22,45,8,19
677,133,362,30,60,1,14
548,29,73,25,50,12,10
366,232,579,35,70,7,15
664,167,419,30,60,5,20
496,225,567,18,35,11,14
530,72,201,28,55,3,22
634,251,629,22,45,9,18
524,71,193,20,40,6,13
676,133,360,25,50,12,21
694,29,71,15,30,1,16
315,145,378,22,45,4,11
543,72,206,18,35,8,19
566,181,460,28,55,2,14
547,144,377,30,60,7,22
582,198,499,18,35,5,21
542,133,361,22,45,11,14
374,29,72,25,50,3,17
632,72,198,20,40,10,19
696,71,194,28,55,8,12
672,225,571,18,35,4,16
702,181,459,22,45,9,21
523,29,75,15,30,1,13
679,250,628,30,60,6,22
412,172,431,40,80,8,15
564,136,371,35,70,4,18
525,56,153,25,50,2,12
393,101,265,30,60,10,14
628,128,354,22,45,12,21
373,2,11,28,55,6,17
520,215,543,18,35,9,19
590,172,428,20,40,3,14
427,177,440,25,50,5,12
526,120,314,30,60,8,16
521,183,462,35,70,11,20
666,172,430,40,80,7,17
541,110,285,30,60,4,14
316,256,645,25,50,2,19
568,64,184,22,45,9,12
484,128,351,28,55,12,21
565,160,405,18,35,5,16
515,254,639,22,45,11,22
317,136,368,30,60,8,19
514,262,669,35,70,3,15
650,223,565,28,55,5,17
567,96,254,30,60,9,15
473,110,290,22,45,11,14
330,172,432,35,70,4,18
697,114,296,18,35,8,21
522,24,62,25,50,6,16
561,243,614,22,45,9,19
327,10,27,30,60,1,13
438,236,586,20,40,4,16
348,24,58,28,55,11,22
528,110,292,35,70,7,21
383,40,107,25,50,3,17
624,243,611,22,45,10,14
534,273,690,30,60,6,16
693,24,63,18,35,8,19
349,2,12,28,55,4,5
468,114,297,20,40,11,13
636,8,22,22,45,1,14
546,267,676,25,50,2,16
407,126,340,22,45,5,18
346,92,244,40,80,9,20
414,98,258,35,70,7,21
517,96,257,30,60,5,19
623,198,508,22,45,12,22
670,243,604,18,35,8,19
511,172,427,28,55,3,20
340,41,112,25,50,1,21
673,44,116,22,45,6,18
535,87,234,35,70,3,22
461,150,386,30,60,11,19
339,101,266,40,80,8,20
540,60,166,35,70,4,21
512,92,245,30,60,11,19
428,45,126,22,45,6,22
513,217,549,18,35,9,20
413,153,395,28,55,2,21
